Names,Video Link,Geners
Ko Ante Koti,https://youtu.be/fvonohI2pDU?si=d5BGodswxVf8ZBHW,"Comedy,love"
Vastadu Naa Raju,https://youtu.be/cefwSj97SME?si=RslhzOydBLwmkc0H,"Comedy,love"
Sivaputrudu,https://youtu.be/M_h_JL0_Log?si=Q2-Vka0ETUdOxApx,thriller
Maa Annayya,https://youtu.be/B5h2Du2LITo?si=N_HVlVlVj-iGJlOK,Family
Weekend Love,https://youtu.be/SZHxRwCvzhQ?si=CbPdCX6i3kdGc_kA,"Love,effection"
Sahasa Veerudu Sagara kanya,https://youtu.be/pRZWb4XJnoY?si=IvMLvhKPIoQuFwBq,"Love,effection"
Allari Bullodu,https://youtu.be/t1yQ84muvtc?si=HmuGUAN8pP0JB3-b,"Comedy,love srory"
Thakita Thakita,https://youtu.be/FAOtKZ51GFg?si=hUywiXlop1qIDZwS,"Real-time Strategy,simulation"
Andari Bandhuvaya,https://youtu.be/Jku2ptiPKbU?si=x0o6yA6THKXjdfiD,Family
Dussasana,https://youtu.be/PI0u8Tub7js?si=h0Gb168U82mhIZf6,"Real-time Strategy,simulation"
Swarna Kamalam,https://youtu.be/RboT-EhyqY0?si=BRPqVOm-Er_OWAqp,"Real-time Strategy,simulation"
Kaani,https://youtu.be/PP0GTgsvghE?si=fco48hT8SmBhYFx9,"Comedy,love"
Rudraveena,https://youtu.be/OxZ9OvV9M8U?si=H7Llph-aqCucyW_V,thriller
Veerabhadra,https://youtu.be/2N8fFzuz7sU?si=F2LUdG4B2gbI6Fr1,thriller
Bhairava Dweepam,https://youtu.be/QMpiKYIGY1E?si=-EGgQejNW2BQ-Jcn,thriller
